POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
4,Pierre,Le Corre,FRA,1990,41,00:08:56,00:01:00,00:27:15,00:00:21,00:15:00,00:52:34,Male
5,Antonio,Serrat Seoane,ESP,1995,5,00:09:17,00:00:58,00:27:00,00:00:22,00:14:59,00:52:37,Male
6,Tyler,Mislawchuk,CAN,1994,30,00:09:01,00:01:01,00:27:10,00:00:24,00:15:04,00:52:41,Male
7,Vasco,Vilaca,POR,1999,45,00:09:03,00:00:58,00:27:09,00:00:23,00:15:11,00:52:46,Male
8,Hayden,Wilde,NZL,1997,23,00:09:18,00:00:58,00:26:56,00:00:24,00:15:15,00:52:54,Male
9,Kenji,Nener,JPN,1993,31,00:08:53,00:01:02,00:27:16,00:00:21,00:15:23,00:52:58,Male
10,Gábor,Faldum,HUN,1988,37,00:09:13,00:01:02,00:27:00,00:00:22,00:15:25,00:53:03,Male
11,Márk,Dévay,HUN,1996,29,00:08:44,00:01:01,00:27:29,00:00:22,00:15:37,00:53:15,Male
12,Tim,Hellwig,GER,1999,1,00:09:08,00:00:58,00:27:08,00:00:21,00:15:44,00:53:22,Male
13,Takumi,Hojo,JPN,1996,12,00:08:50,00:01:03,00:27:21,00:00:27,00:15:40,00:53:24,Male
14,Léo,Bergere,FRA,1996,3,00:09:10,00:01:00,00:27:02,00:00:23,00:15:47,00:53:25,Male
15,Roberto,Sanchez Mantecon,ESP,1996,40,00:09:20,00:00:59,00:27:34,00:00:23,00:15:10,00:53:27,Male
16,Valentin,Morlec,FRA,1999,47,00:08:59,00:01:00,00:27:55,00:00:22,00:15:13,00:53:31,Male
17,Gordon,Benson,GBR,1994,11,00:09:10,00:01:00,00:27:40,00:00:22,00:15:24,00:53:39,Male
18,Csongor,Lehmann,HUN,1999,28,00:08:57,00:01:01,00:27:54,00:00:24,00:15:25,00:53:43,Male
19,Lasse Nygaard,Priester,GER,1995,4,00:09:17,00:00:57,00:27:40,00:00:23,00:15:27,00:53:45,Male
20,Tjebbe,Kaindl,AUT,1999,48,00:09:11,00:00:57,00:27:05,00:00:23,00:16:09,00:53:47,Male
21,Miguel,Hidalgo,BRA,2000,20,00:08:56,00:01:06,00:27:50,00:00:23,00:15:39,00:53:55,Male
22,Samuel,Dickinson,GBR,1997,33,00:09:15,00:01:00,00:27:35,00:00:24,00:15:44,00:53:59,Male
23,Jonas,Schomburg,GER,1994,14,00:09:02,00:00:58,00:27:13,00:00:25,00:16:23,00:54:02,Male
24,Morgan,Pearson,USA,1993,22,00:09:04,00:00:58,00:27:52,00:00:28,00:15:48,00:54:13,Male
25,Menno,Koolhaas,NED,1995,55,00:09:07,00:01:01,00:27:45,00:00:35,00:15:47,00:54:17,Male
26,Tamás,Tóth,HUN,1989,43,00:09:06,00:00:59,00:27:51,00:00:22,00:16:00,00:54:19,Male
27,Alessandro,Fabian,ITA,1988,39,00:09:04,00:01:01,00:27:47,00:00:25,00:16:06,00:54:24,Male
28,Brandon,Copeland,AUS,1996,10,00:09:18,00:00:58,00:27:41,00:00:23,00:16:07,00:54:28,Male
29,Gianluca,Pozzatti,ITA,1993,42,00:09:01,00:01:02,00:27:50,00:00:24,00:16:15,00:54:34,Male
30,Bob,Haller,LUX,1993,17,00:09:17,00:01:00,00:27:34,00:00:24,00:16:25,00:54:42,Male
31,Casper,Stornes,NOR,1997,15,00:09:21,00:01:03,00:27:29,00:00:27,00:16:28,00:54:49,Male
32,Vetle Bergsvik,Thorn,NOR,1999,7,00:09:18,00:01:02,00:27:31,00:00:26,00:16:35,00:54:54,Male
33,Marcel,Walkington,AUS,1993,9,00:09:13,00:01:00,00:27:45,00:00:25,00:16:39,00:55:04,Male
34,Charles,Paquet,CAN,1997,6,00:09:21,00:00:58,00:27:40,00:00:30,00:16:44,00:55:14,Male
35,Donald,Hillebregt,NED,1992,19,00:09:11,00:01:06,00:27:41,00:00:26,00:16:51,00:55:16,Male
36,Jørgen,Gundersen,NOR,1995,54,00:09:09,00:01:03,00:27:45,00:00:25,00:16:57,00:55:20,Male
37,Aaron,Royle,AUS,1990,27,00:09:12,00:01:07,00:27:35,00:00:25,00:17:15,00:55:35,Male
38,Johannes,Vogel,GER,1996,18,00:09:00,00:01:01,00:27:54,00:00:26,00:17:17,00:55:40,Male
39,Fabian,Meeusen,SUI,1998,53,00:08:57,00:01:00,00:27:59,00:00:24,00:17:19,00:55:42,Male
