POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
41,Jack,Willis,GBR,1997,41,00:08:29,00:01:47,00:30:18,00:00:37,00:16:17,00:57:27,Male
42,Valentin,Wernz,GER,1995,11,00:08:23,00:01:46,00:30:24,00:00:35,00:16:26,00:57:32,Male
43,Martin,Demuth,AUT,1995,53,00:08:09,00:01:46,00:30:38,00:00:37,00:16:26,00:57:34,Male
44,Seth,Rider,USA,1997,21,00:08:12,00:01:48,00:28:52,00:00:36,00:18:18,00:57:44,Male
45,Genis,Grau,ESP,1994,27,00:08:33,00:01:43,00:30:17,00:00:37,00:16:41,00:57:50,Male
46,Kyle,Smith,NZL,1997,58,00:08:36,00:01:45,00:28:35,00:00:35,00:18:27,00:57:55,Male
47,Aoba,Yasumatsu,JPN,1997,40,00:08:40,00:01:43,00:30:09,00:00:37,00:17:01,00:58:09,Male
48,Jorge,Alarcon Familiar,MEX,1999,54,00:08:39,00:01:46,00:30:42,00:00:38,00:16:48,00:58:31,Male
49,Antonio,Bravo Neto,BRA,1999,48,00:08:38,00:01:48,00:31:48,00:00:34,00:16:02,00:58:48,Male
50,Junjie,Fan,CHN,2001,59,00:08:38,00:01:46,00:31:51,00:00:34,00:16:22,00:59:08,Male
1,Hayden,Wilde,NZL,1997,2,00:09:13,00:00:32,00:28:56,00:00:25,00:14:07,00:53:10,Male
2,Matthew,Hauser,AUS,1998,18,00:08:51,00:00:40,00:29:09,00:00:21,00:14:13,00:53:13,Male
3,Jawad,Abdelmoula,MAR,1994,30,00:09:04,00:00:37,00:28:59,00:00:23,00:14:25,00:53:26,Male
4,Léo,Bergere,FRA,1996,1,00:08:55,00:00:33,00:29:08,00:00:22,00:14:32,00:53:29,Male
5,Jelle,Geens,BEL,1993,4,00:09:12,00:00:34,00:28:51,00:00:20,00:14:40,00:53:36,Male
6,Tom,Richard,FRA,1993,26,00:08:52,00:00:34,00:29:13,00:00:21,00:14:39,00:53:37,Male
7,Vasco,Vilaca,POR,1999,6,00:09:03,00:00:35,00:28:59,00:00:23,00:14:40,00:53:38,Male
8,Joao,Silva,POR,1989,17,00:09:06,00:00:34,00:29:02,00:00:22,00:14:38,00:53:40,Male
9,Vetle Bergsvik,Thorn,NOR,1999,21,00:09:06,00:00:35,00:29:02,00:00:24,00:14:37,00:53:42,Male
10,Lasse,Lührs,GER,1996,12,00:09:01,00:00:37,00:29:00,00:00:22,00:14:45,00:53:43,Male
11,Vincent,Luis,FRA,1989,5,00:08:45,00:00:34,00:29:19,00:00:23,00:14:45,00:53:44,Male
12,Kenji,Nener,JPN,1993,11,00:08:53,00:00:31,00:29:17,00:00:21,00:14:46,00:53:45,Male
13,Barclay,Izzard,GBR,1998,49,00:09:15,00:00:31,00:28:55,00:00:18,00:14:50,00:53:47,Male
14,Csongor,Lehmann,HUN,1999,31,00:09:04,00:00:32,00:29:04,00:00:21,00:14:54,00:53:54,Male
15,Jamie,Riddle,RSA,2000,39,00:08:51,00:00:33,00:29:20,00:00:25,00:14:49,00:53:56,Male
16,Gábor,Faldum,HUN,1988,24,00:09:12,00:00:33,00:28:54,00:00:19,00:15:00,00:53:57,Male
17,Michele,Sarzilla,ITA,1988,32,00:09:01,00:00:37,00:29:01,00:00:25,00:14:56,00:53:58,Male
18,Radim,Grebík,CZE,2001,40,00:09:04,00:00:31,00:29:07,00:00:23,00:14:56,00:53:59,Male
19,Valentin,Morlec,FRA,1999,35,00:08:46,00:00:31,00:29:23,00:00:23,00:15:02,00:54:02,Male
20,Valentin,Wernz,GER,1995,38,00:09:01,00:00:34,00:29:05,00:00:23,00:15:05,00:54:05,Male
21,Seth,Rider,USA,1997,36,00:08:59,00:00:34,00:29:09,00:00:22,00:15:06,00:54:07,Male
22,Bence,Bicsák,HUN,1995,10,00:09:03,00:00:37,00:29:02,00:00:26,00:15:05,00:54:11,Male
23,Jonas,Schomburg,GER,1994,27,00:08:58,00:00:32,00:29:07,00:00:24,00:15:12,00:54:12,Male
24,Kevin,McDowell,USA,1992,33,00:08:56,00:00:33,00:29:10,00:00:25,00:15:11,00:54:14,Male
25,Takumi,Hojo,JPN,1996,14,00:08:52,00:00:33,00:29:13,00:00:22,00:15:20,00:54:17,Male
26,Alberto,Gonzalez Garcia,ESP,1998,55,00:09:09,00:00:32,00:29:01,00:00:20,00:15:21,00:54:21,Male
27,Luke,Willian,AUS,1996,42,00:09:11,00:00:33,00:28:57,00:00:22,00:15:20,00:54:21,Male
28,Simon,Westermann,SUI,1998,45,00:09:05,00:00:33,00:29:01,00:00:22,00:15:22,00:54:21,Male
29,Márk,Dévay,HUN,1996,22,00:08:48,00:00:35,00:29:16,00:00:21,00:15:26,00:54:24,Male
30,Chase,McQueen,USA,1998,43,00:08:56,00:00:33,00:29:14,00:00:23,00:15:25,00:54:29,Male
31,Manoel,Messias,BRA,1996,29,00:09:28,00:00:34,00:29:35,00:00:21,00:14:39,00:54:35,Male
32,Dylan,McCullough,NZL,2001,57,00:08:49,00:00:35,00:29:19,00:00:23,00:15:33,00:54:37,Male
33,Samuel,Dickinson,GBR,1997,41,00:09:01,00:00:34,00:29:02,00:00:23,00:15:41,00:54:40,Male
34,Tim,Hellwig,GER,1999,8,00:09:07,00:00:34,00:28:59,00:00:26,00:15:38,00:54:42,Male
35,Max,Studer,SUI,1996,53,00:09:14,00:00:36,00:29:46,00:00:22,00:14:49,00:54:44,Male
36,Mario,Mola,ESP,1990,52,00:09:14,00:00:37,00:29:46,00:00:23,00:14:52,00:54:50,Male
37,Richard,Murray,NED,1989,61,00:09:16,00:00:35,00:29:46,00:00:19,00:15:09,00:55:03,Male
38,Emil,Holm,DEN,1996,62,00:09:11,00:00:33,00:29:54,00:00:19,00:15:15,00:55:09,Male
39,Jacob,Birtwhistle,AUS,1995,25,00:09:23,00:00:35,00:29:39,00:00:23,00:15:18,00:55:16,Male
40,Rostislav,Pevtsov,AZE,1987,50,00:09:10,00:00:34,00:29:54,00:00:23,00:15:24,00:55:23,Male
41,Roberto,Sanchez Mantecon,ESP,1996,16,00:09:27,00:00:35,00:29:34,00:00:21,00:15:39,00:55:34,Male
42,Saxon,Morgan,NZL,2000,59,00:09:15,00:00:33,00:29:50,00:00:23,00:15:45,00:55:44,Male
43,Donald,Hillebregt,NED,1992,64,00:09:15,00:00:35,00:29:52,00:00:27,00:16:05,00:56:13,Male
44,Gabriel,Sandör,SWE,1996,34,00:09:23,00:00:33,00:29:42,00:00:22,00:16:18,00:56:16,Male
45,Erwin,Vanderplancke,BEL,1995,28,00:09:27,00:00:33,00:29:37,00:00:24,00:16:32,00:56:30,Male
46,Jan,Volar,CZE,1992,58,00:09:18,00:00:35,00:29:48,00:00:23,00:16:36,00:56:37,Male
47,Antonio,Bravo Neto,BRA,1999,60,00:09:31,00:00:33,00:31:01,00:00:22,00:15:21,00:56:46,Male
48,Antonio,Serrat Seoane,ESP,1995,3,00:09:28,00:00:35,00:31:00,00:00:20,00:15:29,00:56:51,Male
49,Brock,Hoel,CAN,2001,63,00:08:53,00:00:34,00:31:23,00:00:23,00:15:58,00:57:10,Male
50,Diego,Moya,CHI,1998,37,00:09:15,00:00:34,00:31:16,00:00:23,00:16:13,00:57:38,Male
1,Matthew,Hauser,AUS,1998,4,00:09:04,00:00:30,00:26:31,00:00:20,00:13:40,00:50:03,Male
2,Vasco,Vilaca,POR,1999,20,00:09:17,00:00:32,00:26:11,00:00:21,00:13:49,00:50:09,Male
3,Pierre,Le Corre,FRA,1990,6,00:09:05,00:00:29,00:26:27,00:00:22,00:13:50,00:50:10,Male
4,Jelle,Geens,BEL,1993,12,00:09:19,00:00:29,00:26:11,00:00:23,00:13:58,00:50:18,Male
5,Casper,Stornes,NOR,1997,24,00:09:10,00:00:30,00:26:22,00:00:21,00:13:59,00:50:19,Male
6,Vincent,Luis,FRA,1989,2,00:09:01,00:00:30,00:26:29,00:00:21,00:14:03,00:50:23,Male
7,Alessio,Crociani,ITA,2001,28,00:09:01,00:00:29,00:26:28,00:00:20,00:14:12,00:50:28,Male
8,Alberto,Gonzalez Garcia,ESP,1998,5,00:09:12,00:00:28,00:26:23,00:00:23,00:14:14,00:50:38,Male
9,Max,Stapley,GBR,1999,37,00:09:03,00:00:32,00:26:27,00:00:24,00:14:15,00:50:39,Male
10,Tom,Richard,FRA,1993,23,00:09:07,00:00:32,00:26:25,00:00:22,00:14:17,00:50:41,Male
11,Luke,Willian,AUS,1996,1,00:09:08,00:00:28,00:26:29,00:00:22,00:14:23,00:50:49,Male
12,Emil,Holm,DEN,1996,21,00:09:24,00:00:30,00:26:05,00:00:20,00:14:35,00:50:53,Male
13,Tyler,Mislawchuk,CAN,1994,30,00:09:14,00:00:31,00:26:15,00:00:22,00:14:34,00:50:53,Male
14,Mitch,Kolkman,NED,2002,60,00:09:21,00:00:28,00:26:13,00:00:19,00:14:38,00:50:57,Male
15,Henry,Graf,GER,2002,46,00:09:18,00:00:32,00:26:07,00:00:23,00:14:41,00:50:59,Male
16,John,Reed,USA,2001,33,00:09:13,00:00:31,00:26:22,00:00:25,00:14:34,00:51:03,Male
17,Yanis,Seguin,FRA,2000,44,00:09:21,00:00:29,00:26:10,00:00:23,00:14:44,00:51:05,Male
18,Tayler,Reid,NZL,1996,7,00:09:07,00:00:30,00:26:21,00:00:22,00:14:49,00:51:07,Male
19,Gábor,Faldum,HUN,1988,8,00:09:16,00:00:31,00:26:14,00:00:22,00:14:47,00:51:08,Male
20,Brandon,Copeland,AUS,1996,18,00:09:20,00:00:31,00:26:13,00:00:21,00:14:48,00:51:11,Male
21,Sylvain,Fridelance,SUI,1995,59,00:09:17,00:00:32,00:26:11,00:00:23,00:14:52,00:51:13,Male
22,Márk,Dévay,HUN,1996,11,00:09:00,00:00:32,00:26:30,00:00:21,00:14:58,00:51:19,Male
23,Morgan,Pearson,USA,1993,3,00:09:18,00:00:28,00:27:22,00:00:23,00:13:53,00:51:22,Male
24,Max,Studer,SUI,1996,40,00:09:25,00:00:32,00:27:12,00:00:20,00:14:00,00:51:26,Male
25,Hugo,Milner,GBR,1998,9,00:09:13,00:00:30,00:27:26,00:00:23,00:14:00,00:51:29,Male
26,Simon,Westermann,SUI,1998,29,00:09:20,00:00:34,00:26:08,00:00:23,00:15:11,00:51:33,Male
27,Chase,McQueen,USA,1998,32,00:09:02,00:00:30,00:26:30,00:00:21,00:15:15,00:51:36,Male
28,Lasse,Lührs,GER,1996,34,00:09:11,00:00:32,00:26:14,00:00:22,00:15:19,00:51:37,Male
29,Saxon,Morgan,NZL,2000,49,00:09:17,00:00:30,00:26:19,00:00:23,00:15:14,00:51:40,Male
30,Jan,Diener,GER,2002,48,00:09:06,00:00:29,00:26:23,00:00:21,00:15:37,00:51:53,Male
31,Martin,Demuth,AUT,1995,61,00:09:20,00:00:32,00:26:13,00:00:24,00:15:36,00:52:03,Male
32,Jawad,Abdelmoula,MAR,1994,22,00:09:26,00:00:31,00:27:12,00:00:22,00:14:38,00:52:07,Male
33,James,Edgar,IRL,1998,42,00:09:25,00:00:32,00:27:17,00:00:21,00:14:38,00:52:12,Male
34,Martin,Sobey,CAN,1996,14,00:09:21,00:00:31,00:27:18,00:00:23,00:14:40,00:52:12,Male
35,Aoba,Yasumatsu,JPN,1997,25,00:09:26,00:00:31,00:27:14,00:00:23,00:14:52,00:52:24,Male
36,Eric,Diener,GER,2000,57,00:09:23,00:00:32,00:27:15,00:00:23,00:14:53,00:52:24,Male
37,Jannik,Schaufler,GER,1997,53,00:09:23,00:00:32,00:27:14,00:00:21,00:14:57,00:52:25,Male
38,Ren,Sato,JPN,1995,41,00:09:15,00:00:32,00:27:23,00:00:21,00:14:56,00:52:25,Male
39,Philip,Pertl,AUT,1998,50,00:09:32,00:00:28,00:27:08,00:00:20,00:15:01,00:52:27,Male
40,Zsombor,Dévay,HUN,2000,56,00:09:25,00:00:33,00:27:12,00:00:24,00:14:58,00:52:29,Male
41,Takumi,Hojo,JPN,1996,16,00:09:05,00:00:32,00:27:32,00:00:23,00:15:05,00:52:34,Male
42,Nicola,Azzano,ITA,1997,17,00:09:20,00:00:32,00:27:17,00:00:23,00:15:24,00:52:54,Male
43,Darr,Smith,USA,1998,15,00:09:12,00:00:31,00:27:26,00:00:23,00:15:32,00:53:02,Male
44,João Nuno,Batista,POR,2005,52,00:09:22,00:00:31,00:28:24,00:00:24,00:14:31,00:53:10,Male
45,Mathis,Beaulieu,CAN,2004,45,00:09:27,00:00:32,00:28:18,00:00:22,00:14:39,00:53:17,Male
46,Vicente,Hernandez,ESP,1991,55,00:09:24,00:00:32,00:28:20,00:00:24,00:14:39,00:53:17,Male
47,Yael Vladimir,González Melendez,MEX,2003,54,00:09:24,00:00:33,00:27:14,00:00:22,00:15:56,00:53:27,Male
48,Makoto,Odakura,JPN,1993,19,00:09:19,00:00:30,00:28:29,00:00:25,00:15:00,00:53:41,Male
49,Arnaud,Mengal,BEL,1997,47,00:09:27,00:00:31,00:28:20,00:00:23,00:15:11,00:53:50,Male
50,Kauê,Willy,BRA,1996,51,00:09:28,00:00:34,00:28:14,00:00:23,00:15:17,00:53:54,Male
